actual_dt,trust1_syn,trust2_syn
2014-04-09,362,296
2014-04-10,352,294
2014-04-11,386,286
2014-04-12,386,319
2014-04-13,364,330
2014-04-14,384,304
2014-04-15,368,280
2014-04-16,316,292
2014-04-17,358,297
2014-04-18,390,317
2014-04-19,382,324
2014-04-20,408,284
2014-04-21,394,313
2014-04-22,384,288
2014-04-23,362,274
2014-04-24,358,306
2014-04-25,368,298
2014-04-26,356,310
2014-04-27,356,318
2014-04-28,364,297
2014-04-29,344,281
2014-04-30,364,292
2014-05-01,376,270
2014-05-02,342,304
2014-05-03,387,340
2014-05-04,394,318
2014-05-05,378,314
2014-05-06,373,288
2014-05-07,335,282
2014-05-08,360,298
2014-05-09,364,298
2014-05-10,387,306
2014-05-11,378,304
2014-05-12,372,312
2014-05-13,374,292
2014-05-14,362,290
2014-05-15,387,320
2014-05-16,378,300
2014-05-17,400,337
2014-05-18,406,336
2014-05-19,370,328
2014-05-20,342,304
2014-05-21,370,312
2014-05-22,345,296
2014-05-23,375,300
2014-05-24,380,360
2014-05-25,399,354
2014-05-26,377,314
2014-05-27,372,296
2014-05-28,370,286
2014-05-29,362,300
2014-05-30,367,313
2014-05-31,397,351
2014-06-01,380,334
2014-06-02,358,298
2014-06-03,356,289
2014-06-04,353,300
2014-06-05,370,306
2014-06-06,383,318
2014-06-07,422,350
2014-06-08,390,337
2014-06-09,385,335
2014-06-10,350,303
2014-06-11,364,292
2014-06-12,376,304
2014-06-13,389,308
2014-06-14,402,346
2014-06-15,398,343
2014-06-16,352,319
2014-06-17,346,304
2014-06-18,369,296
2014-06-19,362,320
2014-06-20,385,327
2014-06-21,402,334
2014-06-22,392,338
2014-06-23,421,317
2014-06-24,379,307
2014-06-25,394,285
2014-06-26,336,294
2014-06-27,383,300
2014-06-28,392,336
2014-06-29,414,332
2014-06-30,381,321
2014-07-01,362,304
2014-07-02,379,312
2014-07-03,366,304
2014-07-04,366,306
2014-07-05,398,328
2014-07-06,394,346
2014-07-07,385,310
2014-07-08,389,300
2014-07-09,372,287
2014-07-10,380,317
2014-07-11,391,322
2014-07-12,392,348
2014-07-13,384,337
2014-07-14,384,316
2014-07-15,402,310
2014-07-16,370,320
2014-07-17,375,291
2014-07-18,398,329
2014-07-19,386,363
2014-07-20,435,336
2014-07-21,414,316
2014-07-22,358,322
2014-07-23,390,329
2014-07-24,396,320
2014-07-25,418,332
2014-07-26,439,365
2014-07-27,436,377
2014-07-28,380,308
2014-07-29,372,294
2014-07-30,359,304
2014-07-31,371,284
2014-08-01,358,298
2014-08-02,382,326
2014-08-03,431,328
2014-08-04,370,304
2014-08-05,346,287
2014-08-06,347,305
2014-08-07,381,290
2014-08-08,368,321
2014-08-09,393,308
2014-08-10,384,302
2014-08-11,360,294
2014-08-12,371,281
2014-08-13,360,280
2014-08-14,346,276
2014-08-15,380,286
2014-08-16,407,318
2014-08-17,383,299
2014-08-18,380,300
2014-08-19,390,284
2014-08-20,376,288
2014-08-21,371,288
2014-08-22,396,310
2014-08-23,425,326
2014-08-24,428,338
2014-08-25,400,318
2014-08-26,406,308
2014-08-27,355,292
2014-08-28,385,316
2014-08-29,384,336
2014-08-30,420,360
2014-08-31,422,352
2014-09-01,384,298
2014-09-02,358,290
2014-09-03,368,309
2014-09-04,358,298
2014-09-05,360,302
2014-09-06,406,338
2014-09-07,393,312
2014-09-08,364,306
2014-09-09,336,313
2014-09-10,368,280
2014-09-11,347,272
2014-09-12,364,310
2014-09-13,404,300
2014-09-14,352,305
2014-09-15,354,288
2014-09-16,356,304
2014-09-17,354,313
2014-09-18,390,300
2014-09-19,380,302
2014-09-20,416,314
2014-09-21,378,332
2014-09-22,395,272
2014-09-23,360,285
2014-09-24,349,282
2014-09-25,358,288
2014-09-26,378,284
2014-09-27,388,340
2014-09-28,405,326
2014-09-29,382,273
2014-09-30,356,305
2014-10-01,336,292
2014-10-02,352,286
2014-10-03,364,319
2014-10-04,394,322
2014-10-05,392,312
2014-10-06,389,302
2014-10-07,331,288
2014-10-08,360,275
2014-10-09,341,288
2014-10-10,378,338
2014-10-11,398,326
2014-10-12,398,320
2014-10-13,338,267
2014-10-14,350,303
2014-10-15,345,294
2014-10-16,364,310
2014-10-17,373,312
2014-10-18,400,324
2014-10-19,400,342
2014-10-20,366,314
2014-10-21,367,284
2014-10-22,366,302
2014-10-23,364,302
2014-10-24,353,308
2014-10-25,366,347
2014-10-26,396,322
2014-10-27,401,300
2014-10-28,356,328
2014-10-29,352,302
2014-10-30,336,308
2014-10-31,364,316
2014-11-01,443,355
2014-11-02,373,304
2014-11-03,350,295
2014-11-04,330,286
2014-11-05,364,286
2014-11-06,350,278
2014-11-07,338,303
2014-11-08,369,320
2014-11-09,417,314
2014-11-10,394,324
2014-11-11,361,306
2014-11-12,376,296
2014-11-13,360,270
2014-11-14,390,321
2014-11-15,394,330
2014-11-16,400,319
2014-11-17,373,312
2014-11-18,356,280
2014-11-19,358,305
2014-11-20,368,312
2014-11-21,342,295
2014-11-22,395,346
2014-11-23,378,334
2014-11-24,345,298
2014-11-25,344,306
2014-11-26,382,302
2014-11-27,359,322
2014-11-28,396,322
2014-11-29,426,346
2014-11-30,424,326
2014-12-01,400,305
2014-12-02,335,304
2014-12-03,389,312
2014-12-04,370,314
2014-12-05,364,328
2014-12-06,436,332
2014-12-07,416,359
2014-12-08,388,336
2014-12-09,391,326
2014-12-10,352,327
2014-12-11,356,334
2014-12-12,380,339
2014-12-13,446,358
2014-12-14,414,346
2014-12-15,414,352
2014-12-16,368,338
2014-12-17,391,320
2014-12-18,386,332
2014-12-19,410,344
2014-12-20,438,358
2014-12-21,420,374
2014-12-22,360,314
2014-12-23,388,335
2014-12-24,361,292
2014-12-25,358,336
2014-12-26,412,369
2014-12-27,446,347
2014-12-28,394,341
2014-12-29,386,316
2014-12-30,376,314
2014-12-31,416,339
2015-01-01,481,393
2015-01-02,432,334
2015-01-03,428,346
2015-01-04,384,350
2015-01-05,399,322
2015-01-06,385,291
2015-01-07,355,290
2015-01-08,360,288
2015-01-09,363,296
2015-01-10,384,338
2015-01-11,367,326
2015-01-12,360,298
2015-01-13,336,295
2015-01-14,358,290
2015-01-15,354,290
2015-01-16,341,278
2015-01-17,411,314
2015-01-18,368,300
2015-01-19,372,306
2015-01-20,350,278
2015-01-21,358,274
2015-01-22,374,282
2015-01-23,350,297
2015-01-24,389,328
2015-01-25,404,286
2015-01-26,384,309
2015-01-27,394,278
2015-01-28,346,283
2015-01-29,388,283
2015-01-30,388,303
2015-01-31,386,300
2015-02-01,411,307
2015-02-02,382,300
2015-02-03,372,308
2015-02-04,342,294
2015-02-05,379,279
2015-02-06,367,320
2015-02-07,402,310
2015-02-08,404,348
2015-02-09,407,308
2015-02-10,361,290
2015-02-11,402,302
2015-02-12,399,296
2015-02-13,378,316
2015-02-14,404,334
2015-02-15,398,334
2015-02-16,385,287
2015-02-17,344,296
2015-02-18,356,272
2015-02-19,352,274
2015-02-20,364,288
2015-02-21,383,320
2015-02-22,369,310
2015-02-23,368,310
2015-02-24,331,305
2015-02-25,364,297
2015-02-26,370,292
2015-02-27,342,313
2015-02-28,384,326
2015-03-01,368,325
2015-03-02,358,278
2015-03-03,345,273
2015-03-04,323,286
2015-03-05,348,268
2015-03-06,374,276
2015-03-07,354,308
2015-03-08,370,318
2015-03-09,360,278
2015-03-10,348,276
2015-03-11,356,280
2015-03-12,350,296
2015-03-13,336,292
2015-03-14,370,271
2015-03-15,374,335
2015-03-16,360,309
2015-03-17,344,286
2015-03-18,342,264
2015-03-19,358,274
2015-03-20,360,302
2015-03-21,384,304
2015-03-22,380,310
2015-03-23,384,310
2015-03-24,346,292
2015-03-25,387,278
2015-03-26,349,314
2015-03-27,336,291
2015-03-28,402,330
2015-03-29,354,304
2015-03-30,373,282
2015-03-31,328,284
2015-04-01,371,308
2015-04-02,362,282
2015-04-03,348,288
2015-04-04,404,337
2015-04-05,398,345
2015-04-06,386,340
2015-04-07,362,282
2015-04-08,350,280
2015-04-09,348,290
2015-04-10,336,307
2015-04-11,360,304
2015-04-12,354,289
2015-04-13,348,305
2015-04-14,328,299
2015-04-15,381,303
2015-04-16,340,286
2015-04-17,338,290
2015-04-18,346,318
2015-04-19,367,306
2015-04-20,363,300
2015-04-21,346,296
2015-04-22,336,282
2015-04-23,338,272
2015-04-24,332,279
2015-04-25,366,303
2015-04-26,376,293
2015-04-27,338,286
2015-04-28,329,290
2015-04-29,346,268
2015-04-30,354,270
2015-05-01,339,299
2015-05-02,372,311
2015-05-03,409,332
2015-05-04,362,312
2015-05-05,374,288
2015-05-06,366,255
2015-05-07,374,310
2015-05-08,388,287
2015-05-09,387,306
2015-05-10,376,306
2015-05-11,356,303
2015-05-12,354,310
2015-05-13,350,293
2015-05-14,346,276
2015-05-15,380,272
2015-05-16,365,328
2015-05-17,358,294
2015-05-18,342,296
2015-05-19,348,280
2015-05-20,321,304
2015-05-21,342,280
2015-05-22,343,306
2015-05-23,411,339
2015-05-24,382,318
2015-05-25,383,302
2015-05-26,384,317
2015-05-27,366,268
2015-05-28,377,284
2015-05-29,376,302
2015-05-30,372,330
2015-05-31,384,276
2015-06-01,346,288
2015-06-02,366,286
2015-06-03,372,282
2015-06-04,384,294
2015-06-05,383,320
2015-06-06,401,293
2015-06-07,408,335
2015-06-08,390,294
2015-06-09,342,301
2015-06-10,352,296
2015-06-11,369,317
2015-06-12,356,286
2015-06-13,391,320
2015-06-14,396,327
2015-06-15,364,296
2015-06-16,356,302
2015-06-17,356,290
2015-06-18,378,292
2015-06-19,392,320
2015-06-20,404,326
2015-06-21,355,308
2015-06-22,337,292
2015-06-23,368,274
2015-06-24,356,300
2015-06-25,342,298
2015-06-26,359,311
2015-06-27,402,315
2015-06-28,372,313
2015-06-29,362,294
2015-06-30,394,295
2015-07-01,391,316
2015-07-02,368,298
2015-07-03,374,310
2015-07-04,407,338
2015-07-05,404,310
2015-07-06,370,302
2015-07-07,363,304
2015-07-08,355,283
2015-07-09,376,291
2015-07-10,396,305
2015-07-11,395,336
2015-07-12,373,312
2015-07-13,370,318
2015-07-14,360,296
2015-07-15,374,294
2015-07-16,365,292
2015-07-17,392,309
2015-07-18,398,326
2015-07-19,397,324
2015-07-20,387,298
2015-07-21,379,314
2015-07-22,361,290
2015-07-23,351,278
2015-07-24,356,274
2015-07-25,404,296
2015-07-26,366,310
2015-07-27,363,274
2015-07-28,353,261
2015-07-29,358,290
2015-07-30,344,316
2015-07-31,378,306
2015-08-01,368,312
2015-08-02,421,334
2015-08-03,388,316
2015-08-04,360,272
2015-08-05,336,276
2015-08-06,376,308
2015-08-07,403,293
2015-08-08,404,339
2015-08-09,396,321
2015-08-10,387,305
2015-08-11,367,298
2015-08-12,372,290
2015-08-13,341,270
2015-08-14,336,300
2015-08-15,385,300
2015-08-16,385,298
2015-08-17,384,290
2015-08-18,352,298
2015-08-19,361,280
2015-08-20,358,304
2015-08-21,401,361
2015-08-22,438,439
2015-08-23,408,346
2015-08-24,392,291
2015-08-25,356,284
2015-08-26,374,278
2015-08-27,333,290
2015-08-28,377,310
2015-08-29,388,322
2015-08-30,370,312
2015-08-31,376,315
2015-09-01,366,302
2015-09-02,314,286
2015-09-03,330,266
2015-09-04,330,280
2015-09-05,351,293
2015-09-06,360,334
2015-09-07,381,298
2015-09-08,331,283
2015-09-09,374,290
2015-09-10,386,289
2015-09-11,375,318
2015-09-12,396,312
2015-09-13,387,299
2015-09-14,374,300
2015-09-15,382,292
2015-09-16,364,292
2015-09-17,361,314
2015-09-18,384,309
2015-09-19,424,326
2015-09-20,394,308
2015-09-21,340,299
2015-09-22,368,286
2015-09-23,358,304
2015-09-24,368,292
2015-09-25,365,305
2015-09-26,411,308
2015-09-27,396,318
2015-09-28,384,297
2015-09-29,382,294
2015-09-30,396,308
2015-10-01,378,297
2015-10-02,378,297
2015-10-03,406,320
2015-10-04,392,354
2015-10-05,380,302
2015-10-06,369,301
2015-10-07,358,305
2015-10-08,350,300
2015-10-09,364,300
2015-10-10,390,332
2015-10-11,414,326
2015-10-12,358,322
2015-10-13,359,284
2015-10-14,343,302
2015-10-15,365,306
2015-10-16,376,298
2015-10-17,384,326
2015-10-18,382,311
2015-10-19,389,311
2015-10-20,338,265
2015-10-21,357,290
2015-10-22,374,308
2015-10-23,373,309
2015-10-24,429,310
2015-10-25,376,332
2015-10-26,366,302
2015-10-27,341,285
2015-10-28,378,286
2015-10-29,338,304
2015-10-30,374,306
2015-10-31,415,313
2015-11-01,415,356
2015-11-02,382,319
2015-11-03,357,296
2015-11-04,352,314
2015-11-05,360,310
2015-11-06,382,299
2015-11-07,386,301
2015-11-08,379,310
2015-11-09,354,294
2015-11-10,361,286
2015-11-11,354,295
2015-11-12,368,302
2015-11-13,355,300
2015-11-14,392,330
2015-11-15,384,338
2015-11-16,343,316
2015-11-17,354,296
2015-11-18,362,292
2015-11-19,352,284
2015-11-20,365,326
2015-11-21,384,328
2015-11-22,401,326
2015-11-23,380,309
2015-11-24,371,317
2015-11-25,397,322
2015-11-26,387,318
2015-11-27,384,317
2015-11-28,416,334
2015-11-29,384,310
2015-11-30,388,316
2015-12-01,384,310
2015-12-02,347,324
2015-12-03,371,304
2015-12-04,363,322
2015-12-05,408,347
2015-12-06,408,351
2015-12-07,420,329
2015-12-08,366,318
2015-12-09,359,320
2015-12-10,370,312
2015-12-11,373,308
2015-12-12,396,340
2015-12-13,418,342
2015-12-14,379,300
2015-12-15,406,298
2015-12-16,364,308
2015-12-17,392,318
2015-12-18,410,338
2015-12-19,420,347
2015-12-20,407,334
2015-12-21,387,311
2015-12-22,378,288
2015-12-23,375,288
2015-12-24,386,303
2015-12-25,383,300
2015-12-26,406,346
2015-12-27,422,358
2015-12-28,420,346
2015-12-29,400,318
2015-12-30,379,306
2015-12-31,369,284
2016-01-01,516,393
2016-01-02,398,350
2016-01-03,403,336
2016-01-04,408,314
2016-01-05,362,341
2016-01-06,375,298
2016-01-07,354,281
2016-01-08,368,307
2016-01-09,376,326
2016-01-10,376,312
2016-01-11,386,326
2016-01-12,328,271
2016-01-13,324,298
2016-01-14,358,289
2016-01-15,402,290
2016-01-16,393,304
2016-01-17,374,324
2016-01-18,376,311
2016-01-19,374,284
2016-01-20,380,304
2016-01-21,384,296
2016-01-22,402,330
2016-01-23,408,320
2016-01-24,410,357
2016-01-25,379,314
2016-01-26,360,304
2016-01-27,373,320
2016-01-28,368,311
2016-01-29,386,302
2016-01-30,382,326
2016-01-31,403,336
2016-02-01,384,310
2016-02-02,382,307
2016-02-03,370,290
2016-02-04,362,299
2016-02-05,373,312
2016-02-06,410,330
2016-02-07,407,324
2016-02-08,391,317
2016-02-09,370,320
2016-02-10,390,322
2016-02-11,396,322
2016-02-12,397,306
2016-02-13,400,333
2016-02-14,396,314
2016-02-15,398,312
2016-02-16,372,318
2016-02-17,374,295
2016-02-18,367,319
2016-02-19,372,310
2016-02-20,407,350
2016-02-21,422,336
2016-02-22,410,300
2016-02-23,395,304
2016-02-24,369,291
2016-02-25,381,290
2016-02-26,364,291
2016-02-27,416,316
2016-02-28,420,302
2016-02-29,393,320
2016-03-01,368,302
2016-03-02,397,290
2016-03-03,392,314
2016-03-04,409,320
2016-03-05,402,325
2016-03-06,394,338
2016-03-07,384,318
2016-03-08,386,299
2016-03-09,390,292
2016-03-10,392,315
2016-03-11,402,315
2016-03-12,432,336
2016-03-13,438,340
2016-03-14,404,300
2016-03-15,369,305
2016-03-16,370,300
2016-03-17,378,290
2016-03-18,382,298
2016-03-19,378,322
2016-03-20,408,328
2016-03-21,381,308
2016-03-22,372,310
2016-03-23,363,313
2016-03-24,400,275
2016-03-25,424,326
2016-03-26,400,336
2016-03-27,400,316
2016-03-28,408,326
2016-03-29,399,300
2016-03-30,370,306
2016-03-31,391,295
2016-04-01,388,322
2016-04-02,410,324
2016-04-03,408,335
2016-04-04,422,288
2016-04-05,389,304
2016-04-06,363,288
2016-04-07,361,256
2016-04-08,366,306
2016-04-09,390,310
2016-04-10,340,328
2016-04-11,406,306
2016-04-12,360,320
2016-04-13,369,298
2016-04-14,375,298
2016-04-15,357,294
2016-04-16,374,320
2016-04-17,382,304
2016-04-18,352,284
2016-04-19,354,280
2016-04-20,344,267
2016-04-21,352,258
2016-04-22,334,294
2016-04-23,364,301
2016-04-24,382,304
2016-04-25,369,295
2016-04-26,322,251
2016-04-27,371,280
2016-04-28,338,276
2016-04-29,368,282
2016-04-30,432,319
2016-05-01,387,309
2016-05-02,364,318
2016-05-03,378,312
2016-05-04,374,298
2016-05-05,402,300
2016-05-06,374,293
2016-05-07,426,314
2016-05-08,414,278
2016-05-09,392,312
2016-05-10,362,300
2016-05-11,350,276
2016-05-12,379,298
2016-05-13,384,264
2016-05-14,381,278
2016-05-15,383,279
2016-05-16,360,280
2016-05-17,332,282
2016-05-18,350,298
2016-05-19,365,291
2016-05-20,359,290
2016-05-21,350,302
2016-05-22,384,303
2016-05-23,372,282
2016-05-24,385,286
2016-05-25,368,260
2016-05-26,354,312
2016-05-27,380,294
2016-05-28,486,303
2016-05-29,525,302
2016-05-30,410,284
2016-05-31,376,287
2016-06-01,376,287
2016-06-02,380,260
2016-06-03,358,290
2016-06-04,375,313
2016-06-05,410,312
2016-06-06,375,318
2016-06-07,370,286
2016-06-08,366,284
2016-06-09,389,276
2016-06-10,376,300
2016-06-11,424,316
2016-06-12,384,313
2016-06-13,382,305
2016-06-14,366,252
2016-06-15,349,284
2016-06-16,358,300
2016-06-17,370,294
2016-06-18,394,306
2016-06-19,380,309
2016-06-20,359,282
2016-06-21,391,294
2016-06-22,350,290
2016-06-23,370,264
2016-06-24,369,290
2016-06-25,414,294
2016-06-26,388,304
2016-06-27,378,322
2016-06-28,364,291
2016-06-29,364,286
2016-06-30,389,298
2016-07-01,374,292
2016-07-02,388,302
2016-07-03,412,312
2016-07-04,383,292
2016-07-05,377,289
2016-07-06,372,272
2016-07-07,370,292
2016-07-08,382,281
2016-07-09,394,326
2016-07-10,396,288
2016-07-11,399,302
2016-07-12,350,272
2016-07-13,362,281
2016-07-14,360,294
2016-07-15,371,299
2016-07-16,414,317
2016-07-17,415,330
2016-07-18,407,326
2016-07-19,396,310
2016-07-20,397,303
2016-07-21,408,304
2016-07-22,380,298
2016-07-23,400,320
2016-07-24,398,278
2016-07-25,375,301
2016-07-26,354,279
2016-07-27,379,286
2016-07-28,362,288
2016-07-29,349,273
2016-07-30,412,304
2016-07-31,397,310
2016-08-01,371,260
2016-08-02,370,280
2016-08-03,373,295
2016-08-04,365,268
2016-08-05,383,296
2016-08-06,407,312
2016-08-07,378,299
2016-08-08,363,294
2016-08-09,328,276
2016-08-10,315,276
2016-08-11,362,296
2016-08-12,373,286
2016-08-13,386,288
2016-08-14,374,304
2016-08-15,358,300
2016-08-16,381,272
2016-08-17,346,293
2016-08-18,354,330
2016-08-19,362,307
2016-08-20,392,292
2016-08-21,405,311
2016-08-22,412,278
2016-08-23,360,306
2016-08-24,372,293
2016-08-25,362,276
2016-08-26,358,268
2016-08-27,406,311
2016-08-28,378,303
2016-08-29,401,314
2016-08-30,376,284
2016-08-31,360,278
2016-09-01,350,270
2016-09-02,346,270
2016-09-03,364,296
2016-09-04,339,293
2016-09-05,380,285
2016-09-06,364,272
2016-09-07,384,295
2016-09-08,328,296
2016-09-09,364,278
2016-09-10,398,288
2016-09-11,389,298
2016-09-12,380,294
2016-09-13,374,295
2016-09-14,384,300
2016-09-15,366,296
2016-09-16,349,288
2016-09-17,370,289
2016-09-18,421,308
2016-09-19,372,298
2016-09-20,357,278
2016-09-21,371,292
2016-09-22,380,280
2016-09-23,376,298
2016-09-24,406,302
2016-09-25,388,312
2016-09-26,356,282
2016-09-27,324,286
2016-09-28,386,292
2016-09-29,358,296
2016-09-30,374,304
2016-10-01,386,326
2016-10-02,412,311
2016-10-03,386,298
2016-10-04,369,278
2016-10-05,362,276
2016-10-06,352,282
2016-10-07,384,293
2016-10-08,394,315
2016-10-09,403,300
2016-10-10,350,309
2016-10-11,368,283
2016-10-12,378,272
2016-10-13,359,290
2016-10-14,386,301
2016-10-15,386,326
2016-10-16,407,314
2016-10-17,389,284
2016-10-18,384,283
2016-10-19,355,285
2016-10-20,365,260
2016-10-21,398,295
2016-10-22,406,310
2016-10-23,402,330
2016-10-24,356,288
2016-10-25,360,288
2016-10-26,353,298
2016-10-27,372,288
2016-10-28,360,302
2016-10-29,406,303
2016-10-30,436,348
2016-10-31,382,320
2016-11-01,366,307
2016-11-02,369,280
2016-11-03,348,276
2016-11-04,340,284
2016-11-05,393,308
2016-11-06,388,294
2016-11-07,366,312
2016-11-08,346,293
2016-11-09,362,308
2016-11-10,344,294
2016-11-11,356,322
2016-11-12,412,334
2016-11-13,370,326
2016-11-14,388,316
2016-11-15,363,301
2016-11-16,392,320
2016-11-17,384,288
2016-11-18,377,296
2016-11-19,402,328
2016-11-20,410,324
2016-11-21,401,312
2016-11-22,374,300
2016-11-23,367,292
2016-11-24,400,302
2016-11-25,390,326
2016-11-26,438,328
2016-11-27,399,332
2016-11-28,405,322
2016-11-29,390,288
2016-11-30,351,284
2016-12-01,368,316
2016-12-02,396,312
2016-12-03,404,334
2016-12-04,422,324
2016-12-05,422,306
2016-12-06,398,302
2016-12-07,373,300
2016-12-08,400,301
2016-12-09,390,307
2016-12-10,399,316
2016-12-11,415,310
2016-12-12,400,324
2016-12-13,372,304
2016-12-14,370,286
2016-12-15,370,306
2016-12-16,394,298
2016-12-17,406,313
2016-12-18,428,331
2016-12-19,378,296
2016-12-20,337,264
2016-12-21,368,287
2016-12-22,381,298
2016-12-23,371,292
2016-12-24,422,320
2016-12-25,396,302
2016-12-26,440,320
2016-12-27,450,334
2016-12-28,432,280
2016-12-29,406,292
2016-12-30,398,304
2016-12-31,434,318
2017-01-01,458,376
2017-01-02,405,324
2017-01-03,415,296
2017-01-04,405,306
2017-01-05,371,294
2017-01-06,374,292
2017-01-07,412,316
2017-01-08,388,320
2017-01-09,388,297
2017-01-10,344,286
2017-01-11,346,276
2017-01-12,330,288
2017-01-13,384,270
2017-01-14,374,316
2017-01-15,380,310
2017-01-16,372,316
2017-01-17,338,291
2017-01-18,345,274
2017-01-19,352,284
2017-01-20,370,269
2017-01-21,397,315
2017-01-22,406,316
2017-01-23,380,328
2017-01-24,366,312
2017-01-25,380,296
2017-01-26,363,294
2017-01-27,378,308
2017-01-28,418,331
2017-01-29,396,329
2017-01-30,406,329
2017-01-31,366,314
2017-02-01,390,322
2017-02-02,407,301
2017-02-03,376,303
2017-02-04,416,345
2017-02-05,416,312
2017-02-06,374,300
2017-02-07,352,303
2017-02-08,380,294
2017-02-09,349,276
2017-02-10,341,286
2017-02-11,394,312
2017-02-12,398,312
2017-02-13,396,311
2017-02-14,364,298
2017-02-15,382,279
2017-02-16,379,295
2017-02-17,376,313
2017-02-18,386,304
2017-02-19,403,332
2017-02-20,368,300
2017-02-21,376,294
2017-02-22,370,278
2017-02-23,368,294
2017-02-24,361,291
2017-02-25,383,302
2017-02-26,377,298
2017-02-27,363,289
2017-02-28,362,294
2017-03-01,362,296
2017-03-02,366,274
2017-03-03,410,304
2017-03-04,392,318
2017-03-05,368,311
2017-03-06,354,296
2017-03-07,342,308
2017-03-08,360,306
2017-03-09,390,314
2017-03-10,359,312
2017-03-11,386,331
2017-03-12,380,348
2017-03-13,350,304
2017-03-14,351,290
2017-03-15,342,296
2017-03-16,370,273
2017-03-17,346,284
2017-03-18,398,312
2017-03-19,405,294
2017-03-20,388,305
2017-03-21,346,290
2017-03-22,368,294
2017-03-23,346,288
2017-03-24,352,304
2017-03-25,430,310
2017-03-26,383,278
2017-03-27,398,300
2017-03-28,343,285
2017-03-29,346,292
2017-03-30,370,291
2017-03-31,394,312
2017-04-01,362,317
2017-04-02,394,319
2017-04-03,351,280
2017-04-04,342,284
2017-04-05,350,284
2017-04-06,354,284
2017-04-07,362,283
2017-04-08,396,315
2017-04-09,393,326
2017-04-10,344,311
2017-04-11,364,290
2017-04-12,329,299
2017-04-13,375,284
2017-04-14,388,278
2017-04-15,380,310
2017-04-16,390,314
2017-04-17,399,314
2017-04-18,376,269
2017-04-19,352,296
2017-04-20,341,267
2017-04-21,380,279
2017-04-22,416,292
2017-04-23,388,304
2017-04-24,358,291
2017-04-25,345,277
2017-04-26,350,292
2017-04-27,354,286
2017-04-28,372,296
2017-04-29,376,309
2017-04-30,392,317
2017-05-01,367,298
2017-05-02,387,288
2017-05-03,368,281
2017-05-04,370,304
2017-05-05,370,296
2017-05-06,399,325
2017-05-07,403,310
2017-05-08,374,287
2017-05-09,356,281
2017-05-10,353,322
2017-05-11,351,300
2017-05-12,360,303
2017-05-13,392,298
2017-05-14,406,322
2017-05-15,348,274
2017-05-16,372,293
2017-05-17,351,274
2017-05-18,354,281
2017-05-19,387,297
2017-05-20,392,286
2017-05-21,396,318
2017-05-22,373,322
2017-05-23,379,298
2017-05-24,376,279
2017-05-25,376,307
2017-05-26,404,314
2017-05-27,410,318
2017-05-28,404,328
2017-05-29,384,304
2017-05-30,376,298
2017-05-31,374,286
2017-06-01,368,286
2017-06-02,364,266
2017-06-03,366,288
2017-06-04,390,302
2017-06-05,354,282
2017-06-06,358,287
2017-06-07,352,283
2017-06-08,367,272
2017-06-09,362,275
2017-06-10,376,307
2017-06-11,382,317
2017-06-12,364,286
2017-06-13,367,307
2017-06-14,368,306
2017-06-15,362,284
2017-06-16,384,320
2017-06-17,396,331
2017-06-18,414,364
2017-06-19,420,328
2017-06-20,418,328
2017-06-21,389,333
2017-06-22,371,313
